Criminal Rights|Political Rights|Religious and Expressive Rights|Economic Rights|Social Rights|Aspirational Rights
Evidence : Regulates searches and seizures, particularly in criminal investigations. May also prohibit the admission of involuntary confessions, or other suspect forms of evidence.|Expropriation of Property : Prohibits the government from taking private property without compensation.|Equality : Guarantees individuals equality before the law.|Fair Compensation : Guarantees just, fair, or equal payment for work.|Shelter : Grants individuals the right to adequate shelter or housing.|Human Dignity : "Dignity of man" or "human dignity" mentioned in the constitution. Often used as a motivation or justification for constitutional provisions.
Unjustified Restraint : Protects individuals from arbitrary detention or unjustified arrest. Sometimes known as habeas corpus.|Life : Grants individuals the right to life. May or may not reference rights of the unborn.|Reputation : Grants individuals the right to protect themselves against libel or slander.|Unions : Grants individuals the right to form trade unions.|Marriage : Grants individuals the right to marry. May be limited to heterosexual couples.|Provide Work : Obliges state to provide work.
Due Process : Entitles defendants to have their cases heard according to legal procedure.|Slavery : Forbids ownership of human beings.|Freedom of Religion : Grants individuals the right to hold and practice religious beliefs.|Strike : Grants individuals the right to strike. May also include protection for strikers' jobs or income.|Privacy : Forbids government intrusion into individuals' property, persons, or communications without proper authorization.|Self-Determination : Grants groups of individuals the right to self-determination. May reference the nation as a whole, or specific groups of individuals.`
Capital Punishment : Forbids the state from imposing the death penalty.|Petition : Grants individuals the right to petition the government.|Church/State Relationship : Guarantees some degree of separation between church and state.|Transfer Property : Grants individuals the right to freely transfer property.|Renounce Citizenship : Grants individuals the right to renounce their citizenship.|Development of Person : Grants individuals the right to develop and express their own personality.
Presumption of Innocence : Requires criminal defendants to be viewed as innocent until proven guilty. This requirement places the burden of proof on the prosecution.|Assembly : Grants individuals and groups the right to assemble in public places for legal purposes. Often linked with the right to protest.|Opinion : Grants individuals freedom of opinion, thought, or conscience. Distinct from freedom of expression.|Consumer Rights : Grants special rights to consumers. May include protection from harmful products or unethical business practices.|Birthright Citizenship : Provides right to citizenship upon birth to certain individuals. This right is usually subject to certain requirements, such as location of birth or parents' citizenship status.|Environment : Obligates both citizens and the state to protect or preserve the environment.
Cruel and Unusual Punishment : Forbids cruel, inhuman, or degrading treatment.|Arms : Grants individuals the right to possess firearms and other weapons. May be subject to restrictions on use, transportation, or type of weapon.|Expression : Grants individuals the right to express themselves.|Property : Grants individuals and corporations the right to own property, or general protection of property ownership.|Association : Grants individuals the right to enter voluntary associations.|Overthrow Government : Grants citizens right to depose the government under certain circumstances.
Jury : Grants individuals the right to trial by jury.|Form Parties : Protects right to form or join political parties.|Conscientious Objectors : Grants religious or ethical objectors an exemption from combat duty. May require noncombat service instead.|Occupation : Grants individuals the freedom to choose their occupation without government interference.|Social Security : Social security mentioned. Reference may be general, or may specifically include a national pension scheme.|Health : Grants individuals the right to health. May also include a state obligation to provide healthcare.
Counsel : Grants accused individuals the right to legal counsel.|Suffrage : References expansion of voting rights to new groups.|Press : Grants individuals the right to free expression in all forms of media.|Safe Working Environment : Grants individuals the right to a safe working environment. May include government obligation to provide safe working conditions.|Leisure : Grants individuals the right to vacations or weekly holidays. |Free Education : Obligates the state to provide free education. May only apply up to a certain age or level of educational attainment.
Victim's Rights : Grants the victims of crimes special rights in the justice process. Examples include restitution, attendance at the trial, or opportunity to speak at the trial.|Torture : Forbids the state from torturing individuals. Torture may be allowed during times of war or crisis.|Movement : Grants individuals the right to travel within or out of the state.|Free Market : Protects individuals and corporations from price-fixing, monopolies, and other anti-competitive strategies.||Standard of Living : Grants individuals the right to a minimum standard of living. Often linked to guarantees of human dignity.
